Benchmark,Instruction Count
Perlbench 0,1069544937088
Perlbench 1,371964871042
Perlbench 2,669091562527
Bzip 0,413615853925
Bzip 1,178450462610
Bzip 2,298209843911
Bzip 3,542582451452
Bzip 4,623096107014
Bzip 5,331760956288
GCC 0,75706142591
GCC 1,146966530703
GCC 2,133776560679
GCC 3,100369517875
GCC 4,110289618513
GCC 5,149680662990
GCC 6,177923543828
GCC 7,164705611026
GCC 8,56545708079
MCF 0,311029794650
Gobmk 0,234560548252
Gobmk 1,623716638224
Gobmk 2,322198876011
Gobmk 3,235576420223
Gobmk 4,337969056601
Hmmer 0,876601187172
Hmmer 1,1855017589667
Sjeng 0,2258529991100
Libquantum 0,2289896883609
h264ref 0,497188994414
h264ref 1,337637736169
h264ref 2,3010067532567
omnetpp 0,579903797320
Astar 0,404577450279
Astar 1,811982820904
xalancbmk 0,985814730456
Bwaves 0,3437552355500
Gamess 0,1063965179977
Gamess 1,829516185715
Gamess 2,3472860200957
MILC 0,1134108297247
ZeusMP 0,1808264464497
Gromacs 0,1963926886552
CactusADM 0,2714628034402
Leslie3D 0,1533984586721
Namd 0,2284200619271
Deall 0,2033745980320
Soplex 0,360970972907
Soplex 1,381470483535
Povray 0,979010201501
Calculix 0,6175756751379
GemsFDTD 0,1404866912815
Tonto 0,2597365708209
Lbm 0,1245406278460
Wrf 0,2978070671050
Sphinx3 0,3356034639320
